"0 is no feedback, 1 is Like, 2 is Dislike","0 znači nema povratnih informacija, 1 znači sviđa mi se, 2 znači ne sviđa mi se",
API,API,
About,O,
Acknowledgement,Potvrda,
Action,Radnja,
Action to perform when clicking the button. The doc will be available as `this`,Radnja koja se izvršava prilikom klika na dugme. Dokument će biti dostupan kao `this`,
Add Weekly Holidays,Dodaj sedmične praznike,
Add to Holidays,Dodaj Praznicima,
Additional Information,Dodatne informacije,
Administrator,Administrator,
Agent,Agent,
Agent Manager,Odgovorni Agent,
Agent Name,Ime agenta,
All,Sve,
Allow anyone to create tickets,Dozvoli svakom da kreira slučajeve,
Amber,Ćilibar,
Apply SLA for Resolution Time,Primijeni Ugovor o Nivou Usluge za vrijeme rješavanja,
Apply To,Primijeni na,
Apply on new page,Primijeni na novoj stranici,
Apply to customer portal,Primjeni na korisnički portal,
Apps,Aplikacije,
Archived,Arhivirano,
Article,Članak,
Assign to,Dodijeli,
Assignment,Dodjela,
Assignment Conditions,Uslovi Dodjele,
Assignment Rule,Pravilo Dodjele,
Assignment Rules,Pravila dodjele,
Attachment,Prilog,
Author,Autor,
Auto update status,Automatsko ažuriranje statusa,
Auto-close after (Days),Automatski zatvori nakon (dana),
Auto-generated from the portal view — do not edit directly unless you know what you're doing! ,Automatski generisano iz prikaza portala - ne uređuj direktno osim ukoliko niste potpuno sigurni šta radite! ,
Automatically Close Tickets when,Automatski Zatvori Slučajeve kada,
Average Response Time,Prosječno Vreme Odziva,
Base Support Rotation,Rotacija Osnovne Podrške,
Base URL,Osnovni URL,
Black,Crna,
Blue,Plavo,
Branding,Brendiranje,
Button,Dugme,
Category,Kategorija,
Clear Table,Očisti Tabelu,
Color,Boja,
Columns,Kolone,
Comment,Komentar,
Commented By,Komentirao/la,
Condition,Uslov,
Contact,Kontakt,
Contact HTML,Kontakt HTML,
Contacts,Kontakti,
Content,Sadržaj,
Content Type,Vrsta sadržaja,
Criterion,Kriterij,
Customer,Klijent,
Customer Name,Ime Klijenta,
Cyan,Cijan,
Date,Datum,
Default Priority,Standard Prioritet,
Default SLA,Standard Sporazum o Nivou Usluge,
Default Ticket Status,Standardni Status Slučaja,
Default priority,Standard Prioritet,
Default ticket status,Standardni Status Slučaja,
Default ticket type,Standard Tip Slučaja,
Description,Opis,
Description Template,Šablon Opisa,
Description Weight,Težina Opisa,
Details,Detalji,
Disabled,Onemogućeno,
Do not apply filters and restrictions to agents of this team,Ne primjenjuj filtere i ograničenja na agente ovog tima,
