API,API,
About,Über,
Action,Aktion,
Add Weekly Holidays,Wöchentlich freie Tage hinzufügen,
Add to Holidays,Zu arbeitsfreien Tagen hinzufügen,
Additional Information,Weitere Informationen,
Administrator,Administrator,
Agent,Agent,
All,Alle,
Apply SLA for Resolution Time,SLA für Lösungszeit anwenden,
Apply To,Anwenden auf,
Apps,Apps,
Archived,Archiviert,
A short description,Eine kurze Beschreibung,
Are you sure you want to discard this?,Sind Sie sicher dass Sie dies verwerfen möchten?,
Assign to,Zuweisen an,
Assigned To,Zugewiesen an,
Assignment,Zuordnung,
Assignment Conditions,Zuweisungsbedingungen,
Assignment Rule,Zuweisungsregel,
Assignment Rules,Zuweisungsregeln,
Attachment,Anhang,
Author,Autor,
Average Response Time,Durchschnittliche Reaktionszeit,
Base URL,Basis-URL,
Black,Schwarz,
Blue,Blau,
Branding,Firmenlogo,
Button,Schaltfläche,
Caller,Anrufer,
Category,Kategorie,
Clear Table,Tabelle leeren,
Color,Farbe,
Columns,Spalten,
Comment,Kommentar,
Condition,Bedingung,
Confirm,Bestätigen,
Contact,Kontakt,
Contact HTML,Kontakt-HTML,
Contacts,Kontakte,
Content,Inhalt,
Content Type,Inhaltstyp,
Created By,Erstellt von,
Created On,Erstellt am,
Customer,Kunde,
Customer Name,Kundenname,
Cyan,Türkis,
Date,Datum,
Default Priority,Standardpriorität,
Description,Beschreibung,
Detailed explanation,Detaillierte Erklärung,
Details,Details,
Discard,Verwerfen,
Discard?,Verwerfen?,
Disabled,Deaktiviert,
DocType,DocType,
Domain,Domain,
Draft,Entwurf,
Email,E-Mail,
Email Account,E-Mail-Konto,
Enabled,Aktiviert,
End Date,Enddatum,
End Time,Endzeit,
Failed,Fehlgeschlagen,
Feedback,Rückmeldung,
Feedback ,Rückmeldung ,
Fields,Felder,
Filters,Filter,
First response,Erste Antwort,
First Responded On,Zuerst geantwortet auf,
First Response Due,Erste Antwort fällig,
First Response Time,Erste Antwortzeit,
Form,Formular,
Frappe Support,Frappe Support,
Friday,Freitag,
From,Von,
From Date,Von-Datum,
Fulfilled,Erfüllt,
Go to Ticket,Zu Ticket gehen,
Gray,Grau,
Green,Grün,
Group By,Gruppiere nach,
Group By Field,Nach Feld gruppieren,
Guest,Gast,
Holiday List,Feiertagsliste,
Holiday List Name,Name der Feiertagsliste,
Holidays,Arbeitsfreie Tage,
ID,ID,
IP Address,IP Adresse,
Icon,Symbol,
Image,Bild,
Images,Bilder,
Is Active,Ist aktiv(iert),
Is Default,Ist Standard,
Is Standard,Ist Standard,
Jump to,Springen zu,
Key,Schlüssel,
Keyboard Shortcuts,Tastaturkürzel,
Knowledge Base,Wissensbasis,
Label,Bezeichnung,
Last Modified,Zuletzt geändert,
Last Updated By,Zuletzt aktualisiert von,
Last Updated On,Zuletzt aktualisiert am,
Link,Verknüpfung,
Link Options,Verknüpfungsoptionen,
List,Liste,
Load Default Columns,Standardspalten laden,
Log out,Abmelden,
Logo,Logo,
Mention,Erwähnen,
Message,Nachricht,
Meta,Meta,
Modified By,Geändert von,
Monday,Montag,
Name,Name,
New Ticket,Neues Ticket,
On Hold Since,Auf Eis gelegt seit,
Open,Offen,
Opening Date,Eröffnungsdatum,
Opening Time,Öffnungszeit,
Orange,Orange,
Owner,Eigentümer,
Order,Auftrag,
Order By,Sortieren nach,
Paused,Pausiert,
Pink,Rosa,
Pinned,Angepinnt,
Placeholder,Platzhalter,
Please enter a subject to continue,Bitte geben Sie einen Betreff ein um fortzufahren,
Post Description Key,Post Beschreibung Schlüssel,
Post Route Key List,Nach der Route Schlüsselliste,
Post Route String,Post-Route-Zeichenfolge,
Post Title Key,Beitragstitel eingeben,
Priorities,Prioritäten,
Priority,Priorität,
Public,Öffentlich,
Published,Veröffentlicht,
Published On,Veröffentlicht am,
Query Options,Abfrageoptionen,
Query Route String,Abfrage Route String,
Raised By (Email),Gemeldet von (E-Mail),
Rating,Bewertung,
Read,Lesen,
Receiver,Empfänger,
Red,Rot,
Reference,Referenz,
References,Referenzen,
Reload,Neu laden,
Request Key,Schlüssel anfordern,
Resolution,Lösung,
Resolution By,Lösung durch,
Resolution Date,Datum der Entscheidung,
Resolution Details,Details zur Entscheidung,
Resolution Due,Lösung fällig,
Resolution Time,Lösungszeit,
Resolved,Geklärt,
Response,Antwort,
Response By,Antwort von,
Response Options,Antwortoptionen,
Response Result Key Path,Antwort Ergebnis Schlüsselpfad,
Response and Resolution,Antwort und Lösung,
Result Preview Field,Ergebnis Vorschaufeld,
Result Route Field,Ergebnis Routenfeld,
Result Title Field,Ergebnis Titelfeld,
Rows,Zeilen,
Saturday,Samstag,
Script,Skript,
Search,Suchen,
Search for,Suchen nach,
Search or type # to go to ticket,Suchen oder # eingeben um zu Ticket zu gehen,
Search Term Param Name,Suchbegriff Param Name,
Session Defaults,Sitzungsstandards,
Settings,Einstellungen,
Setup,Einrichtung,
"Simple Python Expression, Example: doc.status == 'Open' and doc.ticket_type == 'Bug'","Einfacher Python-Ausdruck, zum Beispiel: doc.status == 'Open' and doc.ticket_type == 'Bug'",
Source DocType,Quelle DocType,
Source Name,Quellenname,
Source Type,Quelle Typ,
Start Date,Startdatum,
Start Time,Startzeit,
Status,Status,
Status ,Status ,
Status Details,Statusdetails,
Subject,Betreff,
Submit,Absenden,
Summary,Zusammenfassung,
Sunday,Sonntag,
Support Team,Support-Team,
System,System,
System Health,Systemgesundheit,
System Manager,System-Manager,
Team,Team,
Template,Vorlage,
Template Name,Vorlagenname,
Thursday,Donnerstag,
Title,Bezeichnung,
To,An,
To Date,Bis-Datum,
Toggle Full Width,Breite wechseln,
Toggle Theme,Theme wechseln,
Total Hold Time,Gesamte Haltezeit,
Total Holidays,Insgesamt freie Tage,
Tuesday,Dienstag,
Type,Typ,
User,Nutzer,
